Date,Forecast
2023-04-30,29268.806640625
2023-05-01,28091.568359375
2023-05-02,28680.537109375
2023-05-03,29006.30859375
2023-05-04,28847.7109375
2023-05-05,29534.384765625
2023-05-06,28904.623046875
2023-05-07,28454.978515625
2023-05-08,27694.2734375
2023-05-09,27658.775390625
2023-05-10,27621.755859375
2023-05-11,27000.7890625
2023-05-12,26804.990234375
2023-05-13,26784.078125
2023-05-15,26580.61394230815
2023-05-16,26469.79692989789
2023-05-17,26376.203375831104
2023-05-18,26291.699243155137
2023-05-19,26218.974394008375
2023-05-20,26156.730339620703
2023-05-21,26105.319662344296
2023-05-22,26063.786977740998
2023-05-23,26031.592038658277
2023-05-24,26007.76808703371
2023-05-25,25991.43177138281
2023-05-26,25981.616333643153
2023-05-27,25977.392927833196
2023-05-28,25977.840290387572
